episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
164	46489	2	0.403	8.00	0.19274	-12.69459	0.000	1.846	-0.442	0.000	0.000	0.000	-1.000
165	46665	4	0.720	8.00	0.19618	-12.58754	0.000	2.048	-1.328	0.000	0.000	0.000	0.000
166	46828	4	0.032	8.00	0.17812	-12.43936	0.000	0.032	0.000	0.000	0.000	0.000	0.000
167	47008	4	1.012	8.00	0.18018	-12.29680	0.000	1.679	-0.667	0.000	0.000	0.000	0.000
168	47147	2	-0.908	8.00	0.17660	-12.17738	0.000	1.071	-0.980	0.000	0.000	0.000	-1.000
169	47252	2	1.979	8.00	0.18299	-12.07292	0.000	3.154	-0.175	0.000	0.000	0.000	-1.000
170	47415	4	1.333	8.00	0.18639	-11.96580	0.000	1.857	-0.523	0.000	0.000	0.000	0.000
171	47461	1	2.738	9.00	0.14691	-11.89720	0.000	2.776	-1.038	0.000	0.000	0.000	1.000
172	47550	2	1.210	9.00	0.17850	-11.83554	0.000	2.228	-0.018	0.000	0.000	0.000	-1.000
173	47630	1	2.534	10.00	0.17077	-11.76477	0.000	1.707	-0.173	0.000	0.000	0.000	1.000
174	47758	2	2.417	10.00	0.17341	-11.67182	0.000	3.850	-0.433	0.000	0.000	0.000	-1.000
175	47835	1	3.746	11.00	0.18125	-11.59232	0.000	2.746	0.000	0.000	0.000	0.000	1.000
176	47890	2	-0.111	11.00	0.17026	-11.55288	0.000	1.448	-0.559	0.000	0.000	0.000	-1.000
177	48069	4	2.035	11.00	0.17560	-11.46805	0.000	2.264	-0.228	0.000	0.000	0.000	0.000
178	48142	1	2.620	12.00	0.15066	-11.36054	0.000	1.620	0.000	0.000	0.000	0.000	1.000
179	48322	4	0.112	12.00	0.16356	-11.26037	0.000	0.817	-0.705	0.000	0.000	0.000	0.000
180	48439	1	3.696	13.00	0.15250	-11.15999	0.000	2.772	-0.076	0.000	0.000	0.000	1.000
181	48474	2	0.371	13.00	0.17250	-11.09237	0.000	1.427	-0.056	0.000	0.000	0.000	-1.000
182	48632	4	3.841	13.00	0.17218	-11.02407	0.000	3.841	0.000	0.000	0.000	0.000	0.000
183	48792	2	-0.469	13.00	0.16254	-10.90750	0.000	0.920	-0.389	0.000	0.000	0.000	-1.000
184	48841	1	3.734	14.00	0.17637	-10.83536	0.000	2.734	0.000	0.000	0.000	0.000	1.000
185	48871	2	-0.914	14.00	0.15143	-10.79704	0.000	0.330	-0.244	0.000	0.000	0.000	-1.000
186	49128	2	1.836	14.00	0.16253	-10.70018	0.000	2.926	-0.089	0.000	0.000	0.000	-1.000
187	49202	2	0.016	14.00	0.17085	-10.57415	0.000	1.519	-0.503	0.000	0.000	0.000	-1.000
188	49346	4	3.861	14.00	0.15822	-10.50282	0.000	3.876	-0.015	0.000	0.000	0.000	0.000
189	49376	1	2.910	15.00	0.13040	-10.44462	0.000	1.928	-0.017	0.000	0.000	0.000	1.000
190	49642	4	2.421	15.00	0.15199	-10.34186	0.000	2.423	-0.002	0.000	0.000	0.000	0.000
191	49734	2	0.303	15.00	0.15192	-10.21974	0.000	2.205	-0.902	0.000	0.000	0.000	-1.000
192	49947	4	1.943	15.00	0.15159	-10.10457	0.000	2.573	-0.630	0.000	0.000	0.000	0.000
193	49979	2	-0.540	15.00	0.17734	-10.01987	0.000	0.886	-0.426	0.000	0.000	0.000	-1.000
194	50072	2	-1.173	15.00	0.15748	-9.97265	0.000	0.892	-1.065	0.000	0.000	0.000	-1.000
195	50111	2	0.624	15.00	0.15732	-9.92352	0.000	1.970	-0.346	0.000	0.000	0.000	-1.000
196	50147	5	-0.078	15.00	0.16318	-9.89040	0.000	-0.055	-0.023	0.000	0.000	0.000	0.000
197	50282	4	0.996	15.00	0.14420	-9.84472	0.000	1.283	-0.287	0.000	0.000	0.000	0.000
198	50330	1	2.650	16.00	0.12377	-9.79236	0.000	1.654	-0.004	0.000	0.000	0.000	1.000
199	50490	4	3.213	16.00	0.14456	-9.71172	0.000	3.225	-0.011	0.000	0.000	0.000	0.000
200	50602	2	0.333	16.00	0.14280	-9.63019	0.000	1.569	-0.236	0.000	0.000	0.000	-1.000
201	50694	2	-0.755	16.00	0.14243	-9.56106	0.000	0.868	-0.623	0.000	0.000	0.000	-1.000
202	50747	1	3.828	17.00	0.15309	-9.50861	0.000	2.828	0.000	0.000	0.000	0.000	1.000
203	50857	2	-1.838	17.00	0.13849	-9.45420	0.000	1.425	-2.262	0.000	0.000	0.000	-1.000
204	51011	4	4.136	17.00	0.13751	-9.37494	0.000	4.211	-0.074	0.000	0.000	0.000	0.000
205	51172	4	1.107	17.00	0.13378	-9.26564	0.000	1.111	-0.004	0.000	0.000	0.000	0.000
206	51290	1	2.376	18.00	0.13405	-9.18437	0.000	1.700	-0.324	0.000	0.000	0.000	1.000
207	51320	2	-0.744	18.00	0.12567	-9.12922	0.000	0.309	-0.053	0.000	0.000	0.000	-1.000
208	51437	1	3.469	19.00	0.14104	-9.08270	0.000	2.469	0.000	0.000	0.000	0.000	1.000
209	51547	1	4.225	20.00	0.14185	-9.02326	0.000	3.823	-0.598	0.000	0.000	0.000	1.000
210	51682	1	4.597	20.00	0.14004	-8.94462	0.000	3.811	-0.214	0.000	0.000	0.000	1.000
211	51793	2	2.139	20.00	0.13518	-8.87200	0.000	3.573	-0.434	0.000	0.000	0.000	-1.000
212	51839	2	0.347	20.00	0.14797	-8.81654	0.000	1.381	-0.033	0.000	0.000	0.000	-1.000
213	51890	1	3.415	21.00	0.13972	-8.78848	0.000	2.432	-0.017	0.000	0.000	0.000	1.000
214	51920	2	-1.628	20.00	0.13281	-8.75339	0.000	-0.355	-0.272	0.000	0.000	0.000	-1.000
215	51992	1	2.692	21.00	0.14238	-8.73817	0.000	1.692	0.000	0.000	0.000	0.000	1.000
216	52126	2	1.659	21.00	0.11974	-8.67485	0.000	3.520	-0.861	0.000	0.000	0.000	-1.000
217	52322	4	0.828	21.00	0.12860	-8.57503	0.000	0.878	-0.050	0.000	0.000	0.000	0.000
218	52531	4	1.117	21.00	0.13199	-8.44775	0.000	1.790	-0.673	0.000	0.000	0.000	0.000
219	52580	1	3.723	22.00	0.11717	-8.37454	0.000	2.729	-0.006	0.000	0.000	0.000	1.000
220	52794	4	3.639	22.00	0.12717	-8.30113	0.000	3.740	-0.101	0.000	0.000	0.000	0.000
221	52852	2	1.069	22.00	0.12740	-8.21844	0.000	2.434	-0.365	0.000	0.000	0.000	-1.000
222	52894	2	0.777	22.00	0.12133	-8.19592	0.000	1.778	-0.002	0.000	0.000	0.000	-1.000
223	53038	4	3.182	22.00	0.12470	-8.13246	0.000	3.494	-0.312	0.000	0.000	0.000	0.000
224	53122	2	1.258	22.00	0.11444	-8.06996	0.000	2.405	-0.147	0.000	0.000	0.000	-1.000
225	53194	2	1.923	22.00	0.12012	-8.00657	0.000	3.005	-0.082	0.000	0.000	0.000	-1.000
226	53340	4	4.005	22.00	0.12365	-7.95448	0.000	4.005	0.000	0.000	0.000	0.000	0.000
227	53500	4	0.694	22.00	0.12503	-7.87276	0.000	1.818	-1.123	0.000	0.000	0.000	0.000
228	53568	2	0.557	22.00	0.12044	-7.81252	0.000	1.904	-0.347	0.000	0.000	0.000	-1.000
229	53703	4	1.493	22.00	0.11662	-7.75737	0.000	1.795	-0.302	0.000	0.000	0.000	0.000
230	53747	2	1.141	21.00	0.11562	-7.70721	0.000	2.570	-0.429	0.000	0.000	0.000	-1.000
231	53779	1	2.616	22.00	0.09655	-7.67877	0.000	1.616	0.000	0.000	0.000	0.000	1.000
232	53859	1	2.484	23.00	0.10727	-7.65536	0.000	2.580	-1.096	0.000	0.000	0.000	1.000
233	53889	2	-1.886	23.00	0.08828	-7.62539	0.000	0.334	-1.220	0.000	0.000	0.000	-1.000
234	53919	5	-0.547	23.00	0.12446	-7.59013	0.000	-0.547	0.000	0.000	0.000	0.000	0.000
235	53949	2	-1.427	23.00	0.09656	-7.59684	0.000	0.403	-0.830	0.000	0.000	0.000	-1.000
236	54011	2	-0.179	23.00	0.11414	-7.55971	0.000	1.140	-0.319	0.000	0.000	0.000	-1.000
237	54128	2	2.162	23.00	0.11501	-7.51385	0.000	3.162	0.000	0.000	0.000	0.000	-1.000
238	54284	4	1.005	23.00	0.11354	-7.43747	0.000	1.929	-0.924	0.000	0.000	0.000	0.000
239	54321	2	0.405	22.00	0.11242	-7.38797	0.000	1.461	-0.056	0.000	0.000	0.000	-1.000
240	54479	4	1.144	22.00	0.11300	-7.33217	0.000	1.144	0.000	0.000	0.000	0.000	0.000
241	54690	1	4.523	23.00	0.11473	-7.23189	0.000	4.086	-0.563	0.000	0.000	0.000	1.000
242	54732	2	-4.947	23.00	0.10240	-7.17100	0.000	0.552	-4.499	0.000	0.000	0.000	-1.000
243	54778	1	3.731	23.00	0.11132	-7.14068	0.000	2.731	0.000	0.000	0.000	0.000	1.000
244	54915	2	-1.521	23.00	0.11780	-7.09126	0.000	-0.190	-0.331	0.000	0.000	0.000	-1.000
