gpu torch available:  True
Epi 131    | TIMEOUT     | steps 159  | total 41k   | 16.3s | MA100   2%
Epi 132    | TIMEOUT     | steps 185  | total 42k   | 18.8s | MA100   2%
Epi 133    | TIMEOUT     | steps 208  | total 42k   | 21.9s | MA100   2%
Epi 134    | COLL_WALL   | steps 73   | total 42k   |  7.9s | MA100   2%
Epi 135    | TIMEOUT     | steps 188  | total 42k   | 20.4s | MA100   2%
Epi 136    | COLL_WALL   | steps 59   | total 42k   |  6.4s | MA100   2%
Epi 137    | TIMEOUT     | steps 149  | total 42k   | 16.0s | MA100   2%
Epi 138    | COLL_WALL   | steps 101  | total 42k   | 10.7s | MA100   2%
Epi 139    | TIMEOUT     | steps 154  | total 42k   | 17.0s | MA100   2%
Epi 140    | TIMEOUT     | steps 172  | total 43k   | 18.3s | MA100   2%
Epi 141    | COLL_WALL   | steps 30   | total 43k   |  3.3s | MA100   2%
Epi 142    | COLL_WALL   | steps 242  | total 43k   | 26.2s | MA100   2%
Epi 143    | COLL_WALL   | steps 94   | total 43k   | 10.0s | MA100   2%
Epi 144    | COLL_WALL   | steps 65   | total 43k   |  7.3s | MA100   2%
Epi 145    | TIMEOUT     | steps 170  | total 43k   | 18.6s | MA100   2%
Epi 146    | TIMEOUT     | steps 180  | total 43k   | 19.9s | MA100   2%
Epi 147    | TIMEOUT     | steps 164  | total 44k   | 18.1s | MA100   2%
Epi 148    | TIMEOUT     | steps 143  | total 44k   | 16.0s | MA100   2%
Epi 149    | COLL_WALL   | steps 63   | total 44k   |  6.4s | MA100   2%
Epi 150    | COLL_WALL   | steps 50   | total 44k   |  5.4s | MA100   2%
Epi 151    | TIMEOUT     | steps 196  | total 44k   | 21.1s | MA100   2%
Epi 152    | COLL_WALL   | steps 47   | total 44k   |  5.3s | MA100   2%
Epi 153    | TIMEOUT     | steps 159  | total 44k   | 17.3s | MA100   2%
Epi 154    | COLL_WALL   | steps 201  | total 44k   | 21.9s | MA100   2%
Epi 155    | COLL_WALL   | steps 33   | total 44k   |  3.7s | MA100   2%
Epi 156    | SUCCESS     | steps 121  | total 45k   | 13.3s | MA100   3%
Epi 157    | COLL_WALL   | steps 42   | total 45k   |  4.5s | MA100   3%
Epi 158    | SUCCESS     | steps 163  | total 45k   | 18.1s | MA100   4%
Epi 159    | TIMEOUT     | steps 195  | total 45k   | 21.5s | MA100   3%
Epi 160    | TIMEOUT     | steps 164  | total 45k   | 17.8s | MA100   3%
Epi 161    | TIMEOUT     | steps 187  | total 45k   | 20.7s | MA100   3%
Epi 162    | TIMEOUT     | steps 181  | total 46k   | 19.4s | MA100   3%
Epi 163    | COLL_WALL   | steps 70   | total 46k   |  7.7s | MA100   3%
Epi 164    | COLL_WALL   | steps 70   | total 46k   |  7.4s | MA100   3%
Epi 165    | COLL_WALL   | steps 56   | total 46k   |  6.3s | MA100   3%
Epi 166    | COLL_WALL   | steps 71   | total 46k   |  8.0s | MA100   3%
Epi 167    | TIMEOUT     | steps 166  | total 46k   | 18.3s | MA100   3%
Epi 168    | TIMEOUT     | steps 165  | total 46k   | 18.1s | MA100   3%
Epi 169    | SUCCESS     | steps 159  | total 46k   | 17.6s | MA100   4%
Epi 170    | COLL_WALL   | steps 85   | total 46k   |  9.3s | MA100   4%
Epi 171    | TIMEOUT     | steps 206  | total 47k   | 23.0s | MA100   4%
Epi 172    | TIMEOUT     | steps 194  | total 47k   | 21.7s | MA100   4%
Epi 173    | COLL_WALL   | steps 128  | total 47k   | 14.5s | MA100   4%
Epi 174    | TIMEOUT     | steps 221  | total 47k   | 24.7s | MA100   4%
Epi 175    | TIMEOUT     | steps 185  | total 47k   | 21.6s | MA100   4%
Epi 176    | SUCCESS     | steps 89   | total 47k   |  9.9s | MA100   5%
Epi 177    | TIMEOUT     | steps 206  | total 48k   | 23.2s | MA100   5%
Epi 178    | COLL_WALL   | steps 68   | total 48k   |  7.7s | MA100   5%
Epi 179    | COLL_WALL   | steps 193  | total 48k   | 21.7s | MA100   5%
Epi 180    | SUCCESS     | steps 56   | total 48k   |  6.4s | MA100   6%
Epi 181    | COLL_WALL   | steps 140  | total 48k   | 15.8s | MA100   6%
Epi 182    | TIMEOUT     | steps 163  | total 48k   | 18.3s | MA100   6%
Epi 183    | TIMEOUT     | steps 170  | total 48k   | 19.0s | MA100   6%
Epi 184    | COLL_WALL   | steps 48   | total 48k   |  5.5s | MA100   6%
Epi 185    | COLL_WALL   | steps 85   | total 49k   |  9.8s | MA100   6%
Epi 186    | TIMEOUT     | steps 168  | total 49k   | 19.1s | MA100   6%
Epi 187    | TIMEOUT     | steps 188  | total 49k   | 21.1s | MA100   6%
Epi 188    | COLL_WALL   | steps 112  | total 49k   | 12.7s | MA100   6%
Epi 189    | COLL_WALL   | steps 36   | total 49k   |  4.2s | MA100   6%
Epi 190    | TIMEOUT     | steps 197  | total 49k   | 22.0s | MA100   6%
Epi 191    | TIMEOUT     | steps 196  | total 49k   | 22.0s | MA100   6%
Epi 192    | TIMEOUT     | steps 240  | total 50k   | 27.3s | MA100   6%
Epi 193    | TIMEOUT     | steps 193  | total 50k   | 20.9s | MA100   6%
Epi 194    | SUCCESS     | steps 61   | total 50k   |  6.9s | MA100   7%
Epi 195    | TIMEOUT     | steps 160  | total 50k   | 17.8s | MA100   7%
Epi 196    | TIMEOUT     | steps 201  | total 50k   | 23.5s | MA100   7%
Epi 197    | TIMEOUT     | steps 215  | total 50k   | 24.5s | MA100   7%
Epi 198    | COLL_WALL   | steps 74   | total 51k   |  8.6s | MA100   7%
Epi 199    | TIMEOUT     | steps 199  | total 51k   | 22.7s | MA100   7%
Epi 200    | TIMEOUT     | steps 199  | total 51k   | 22.5s | MA100   7%
saving data for episode: 200, location: /home/kaushik/project/deep-rl-robot-navigation/src/turtlebot3_drl/model/fond-filly/sac_4_stage_9
saving actor model for episode: 200
saving critic model for episode: 200
saving target_critic model for episode: 200
[val] ep 200: 12.5% over 40 det. eps  |  best: 0.0% @ ep 100
[val] NEW BEST CHECKPOINT — ep 200, success 12.5%
Epi 201    | COLL_WALL   | steps 126  | total 51k   | 14.5s | MA100   7%
Epi 202    | SUCCESS     | steps 79   | total 51k   |  8.1s | MA100   8%
Epi 203    | TIMEOUT     | steps 159  | total 51k   | 17.7s | MA100   8%
Epi 204    | TIMEOUT     | steps 201  | total 52k   | 21.4s | MA100   8%
Epi 205    | COLL_WALL   | steps 77   | total 52k   |  7.9s | MA100   8%
Epi 206    | COLL_WALL   | steps 64   | total 52k   |  7.0s | MA100   8%
Epi 207    | TIMEOUT     | steps 153  | total 52k   | 16.6s | MA100   8%
Epi 208    | COLL_WALL   | steps 65   | total 52k   |  7.3s | MA100   8%
Epi 209    | TIMEOUT     | steps 149  | total 52k   | 16.0s | MA100   8%
Epi 210    | COLL_WALL   | steps 31   | total 52k   |  3.4s | MA100   8%
Epi 211    | COLL_WALL   | steps 31   | total 52k   |  3.4s | MA100   8%
Epi 212    | TIMEOUT     | steps 134  | total 52k   | 14.4s | MA100   8%
