episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
122	40077	4	-0.692	2.00	0.68827	-44.49124	0.000	-0.692	0.000	0.000	0.000	0.000	0.000
123	40241	4	0.810	2.00	0.67977	-44.10690	0.000	0.810	0.000	0.000	0.000	0.000	0.000
124	40341	2	-1.438	2.00	0.69972	-43.76372	0.000	-0.438	0.000	0.000	0.000	0.000	-1.000
125	40490	4	-0.219	2.00	0.68053	-43.48312	0.000	-0.219	0.000	0.000	0.000	0.000	0.000
126	40668	4	-0.810	2.00	0.65640	-43.07141	0.000	-0.810	0.000	0.000	0.000	0.000	0.000
127	40829	4	0.392	2.00	0.60223	-42.68010	0.000	0.392	0.000	0.000	0.000	0.000	0.000
128	40979	4	0.242	2.00	0.63025	-42.31757	0.000	0.242	0.000	0.000	0.000	0.000	0.000
129	41025	2	-1.246	2.00	0.73337	-42.05127	0.000	-0.246	0.000	0.000	0.000	0.000	-1.000
130	41179	4	0.950	2.00	0.62357	-41.84871	0.000	0.950	0.000	0.000	0.000	0.000	0.000
131	41338	4	1.130	2.00	0.61890	-41.47009	0.000	1.130	0.000	0.000	0.000	0.000	0.000
132	41523	4	1.131	2.00	0.61146	-41.09108	0.000	1.131	0.000	0.000	0.000	0.000	0.000
133	41731	4	0.686	2.00	0.65373	-40.63442	0.000	0.686	0.000	0.000	0.000	0.000	0.000
134	41804	2	-1.484	2.00	0.63629	-40.35688	0.000	-0.484	0.000	0.000	0.000	0.000	-1.000
135	41992	4	0.602	2.00	0.58208	-40.05661	0.000	0.602	0.000	0.000	0.000	0.000	0.000
136	42051	2	-0.980	2.00	0.66622	-39.77931	0.000	0.020	0.000	0.000	0.000	0.000	-1.000
137	42200	4	0.810	2.00	0.56415	-39.53224	0.000	0.810	0.000	0.000	0.000	0.000	0.000
138	42301	2	1.347	2.00	0.58761	-39.26925	0.000	2.347	0.000	0.000	0.000	0.000	-1.000
139	42455	4	-0.461	2.00	0.56118	-38.98306	0.000	-0.461	0.000	0.000	0.000	0.000	0.000
140	42627	4	1.263	2.00	0.60609	-38.64581	0.000	1.263	0.000	0.000	0.000	0.000	0.000
141	42657	2	-1.614	2.00	0.53512	-38.39315	0.000	-0.614	0.000	0.000	0.000	0.000	-1.000
142	42899	2	0.708	2.00	0.56804	-38.12352	0.000	1.708	0.000	0.000	0.000	0.000	-1.000
143	42993	2	0.372	2.00	0.58268	-37.76290	0.000	1.372	0.000	0.000	0.000	0.000	-1.000
144	43058	2	-0.497	2.00	0.58310	-37.62030	0.000	0.503	0.000	0.000	0.000	0.000	-1.000
145	43228	4	1.003	2.00	0.57482	-37.36965	0.000	1.003	0.000	0.000	0.000	0.000	0.000
146	43408	4	0.194	2.00	0.54726	-37.00250	0.000	0.194	0.000	0.000	0.000	0.000	0.000
147	43572	4	1.075	2.00	0.57780	-36.65430	0.000	1.075	0.000	0.000	0.000	0.000	0.000
148	43715	4	3.475	2.00	0.54260	-36.34387	0.000	3.475	0.000	0.000	0.000	0.000	0.000
149	43778	2	0.026	2.00	0.51425	-36.13961	0.000	1.026	0.000	0.000	0.000	0.000	-1.000
150	43828	2	1.247	2.00	0.54135	-36.03939	0.000	2.247	0.000	0.000	0.000	0.000	-1.000
151	44024	4	1.852	2.00	0.51864	-35.75507	0.000	1.852	0.000	0.000	0.000	0.000	0.000
152	44071	2	-0.721	2.00	0.61245	-35.52010	0.000	0.279	0.000	0.000	0.000	0.000	-1.000
153	44230	4	0.798	2.00	0.53481	-35.31781	0.000	0.798	0.000	0.000	0.000	0.000	0.000
154	44431	2	1.745	2.00	0.52945	-34.97775	0.000	2.745	0.000	0.000	0.000	0.000	-1.000
155	44464	2	-0.970	2.00	0.54794	-34.69310	0.000	0.030	0.000	0.000	0.000	0.000	-1.000
156	44585	1	3.730	3.00	0.51927	-34.61356	0.000	2.730	0.000	0.000	0.000	0.000	1.000
157	44627	2	-0.148	3.00	0.53412	-34.40678	0.000	0.852	0.000	0.000	0.000	0.000	-1.000
158	44790	1	2.638	4.00	0.52822	-34.23695	0.000	1.638	0.000	0.000	0.000	0.000	1.000
159	44985	4	1.612	3.00	0.52994	-33.91145	0.000	1.612	0.000	0.000	0.000	0.000	0.000
160	45149	4	0.454	3.00	0.50384	-33.55304	0.000	0.454	0.000	0.000	0.000	0.000	0.000
161	45336	4	0.388	3.00	0.51962	-33.24797	0.000	0.388	0.000	0.000	0.000	0.000	0.000
162	45517	4	0.027	3.00	0.50143	-32.90118	0.000	0.027	0.000	0.000	0.000	0.000	0.000
163	45587	2	-0.973	3.00	0.52649	-32.66431	0.000	0.027	0.000	0.000	0.000	0.000	-1.000
164	45657	2	0.001	3.00	0.50397	-32.52886	0.000	1.001	0.000	0.000	0.000	0.000	-1.000
165	45713	2	0.274	3.00	0.45722	-32.43374	0.000	1.274	0.000	0.000	0.000	0.000	-1.000
166	45784	2	1.645	3.00	0.47469	-32.31655	0.000	2.645	0.000	0.000	0.000	0.000	-1.000
167	45950	4	1.128	3.00	0.41183	-32.12304	0.000	1.128	0.000	0.000	0.000	0.000	0.000
168	46115	4	1.218	3.00	0.43877	-31.79362	0.000	1.218	0.000	0.000	0.000	0.000	0.000
169	46274	1	2.690	4.00	0.46505	-31.51512	0.000	1.690	0.000	0.000	0.000	0.000	1.000
170	46359	2	0.523	4.00	0.47957	-31.31166	0.000	1.523	0.000	0.000	0.000	0.000	-1.000
171	46565	4	0.158	4.00	0.46092	-31.05588	0.000	0.158	0.000	0.000	0.000	0.000	0.000
172	46759	4	2.189	4.00	0.45678	-30.71606	0.000	2.189	0.000	0.000	0.000	0.000	0.000
173	46887	2	-0.887	4.00	0.41158	-30.44062	0.000	0.113	0.000	0.000	0.000	0.000	-1.000
174	47108	4	0.307	4.00	0.41904	-30.14622	0.000	0.307	0.000	0.000	0.000	0.000	0.000
175	47293	4	1.879	4.00	0.44466	-29.80685	0.000	1.879	0.000	0.000	0.000	0.000	0.000
176	47382	1	2.723	5.00	0.45745	-29.56050	0.000	1.723	0.000	0.000	0.000	0.000	1.000
177	47588	4	3.688	5.00	0.42450	-29.31317	0.000	3.688	0.000	0.000	0.000	0.000	0.000
178	47656	2	-0.623	5.00	0.44371	-29.11019	0.000	0.377	0.000	0.000	0.000	0.000	-1.000
179	47849	2	-1.049	5.00	0.42386	-28.89897	0.000	-0.049	0.000	0.000	0.000	0.000	-1.000
180	47905	1	2.774	6.00	0.45080	-28.67044	0.000	1.774	0.000	0.000	0.000	0.000	1.000
