episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
130	35060	2	-2297.701	13.00	28.27636	188.76349	-98.214	7.372	-40.000	-5.713	-83.145	-78.000	-2000.000
131	35107	2	-2252.711	13.00	28.72316	186.78058	-56.208	6.249	-80.000	-1.914	-73.839	-47.000	-2000.000
132	35177	2	-2383.344	13.00	27.87666	189.17657	-99.603	3.985	-120.000	-6.059	-91.668	-70.000	-2000.000
133	35207	2	-2548.284	13.00	26.75824	185.58148	-39.855	-0.132	-400.000	-8.190	-70.106	-30.000	-2000.000
134	35283	2	-2488.601	13.00	26.82921	188.81955	-104.340	1.159	-200.000	-5.798	-103.623	-76.000	-2000.000
135	35316	2	-2403.331	13.00	28.46854	188.95648	-49.863	0.163	-240.000	-8.232	-72.398	-33.000	-2000.000
136	35502	2	-2926.872	13.00	28.13866	189.23029	-283.224	21.044	-40.000	-352.605	-86.087	-186.000	-2000.000
137	35532	2	-2303.198	13.00	29.61986	189.44440	-46.513	0.923	-100.000	-98.311	-29.298	-30.000	-2000.000
138	35693	4	-915.144	13.00	28.64761	190.56372	-223.982	21.384	-320.000	-123.315	-108.230	-161.000	0.000
139	35850	2	-3286.305	12.00	28.26054	189.27507	-238.757	6.296	-560.000	-202.032	-134.812	-157.000	-2000.000
140	35887	2	-2293.219	12.00	27.88945	189.74232	-71.513	-4.288	-140.000	-24.803	-15.615	-37.000	-2000.000
141	36006	2	-2718.604	12.00	26.41678	189.29196	-180.116	3.821	-260.000	-103.925	-59.384	-119.000	-2000.000
142	36093	1	2211.389	13.00	25.79618	189.19630	-96.592	28.873	0.000	-57.308	-76.584	-87.000	2500.000
143	36201	1	2137.801	14.00	27.98708	189.16238	-119.105	46.337	-80.000	-34.246	-67.185	-108.000	2500.000
144	36245	2	-2185.068	14.00	27.34482	188.71524	-29.401	9.409	-40.000	-46.334	-34.742	-44.000	-2000.000
145	36329	1	2131.699	15.00	26.47733	189.04468	-80.010	15.683	-140.000	-19.490	-60.482	-84.000	2500.000
146	36522	4	-646.997	15.00	26.83829	188.91864	-260.084	49.535	0.000	-108.888	-134.560	-193.000	0.000
147	36566	1	2348.007	16.00	26.18131	188.94424	-33.550	12.656	-40.000	-12.647	-34.452	-44.000	2500.000
148	36598	2	-2251.958	15.00	26.79781	189.30302	-51.415	-1.215	-100.000	-34.392	-32.936	-32.000	-2000.000
149	36675	2	-2398.321	15.00	27.98830	187.79893	-90.595	34.256	-180.000	-36.753	-48.230	-77.000	-2000.000
150	36718	2	-2269.101	15.00	25.12666	187.67937	-86.107	-1.563	-40.000	-65.418	-33.013	-43.000	-2000.000
151	36772	2	-2290.142	15.00	27.17758	188.79552	-70.136	7.081	-100.000	-33.530	-39.557	-54.000	-2000.000
152	36802	1	2415.291	16.00	27.02178	187.37897	-30.801	12.294	0.000	-7.543	-28.658	-30.000	2500.000
153	36942	1	2097.915	17.00	26.56740	188.85349	-155.397	32.328	0.000	-58.387	-80.629	-140.000	2500.000
154	37113	4	-678.550	17.00	27.71992	189.75624	-222.559	35.039	-140.000	-92.582	-87.448	-171.000	0.000
155	37192	2	-2369.666	17.00	26.90729	188.11383	-89.222	22.046	-140.000	-19.786	-63.703	-79.000	-2000.000
156	37271	2	-2674.307	17.00	25.37576	190.13531	-142.294	-3.819	-260.000	-151.809	-37.385	-79.000	-2000.000
157	37381	1	2181.320	18.00	25.93876	188.33234	-104.148	24.271	-20.000	-48.330	-60.473	-110.000	2500.000
158	37552	4	-628.884	18.00	26.00963	189.32819	-228.738	36.964	-80.000	-80.599	-105.511	-171.000	0.000
159	37622	2	-2355.085	18.00	26.74584	188.75616	-69.235	13.904	-180.000	-17.473	-32.282	-70.000	-2000.000
160	37785	4	-655.702	18.00	25.71470	188.83047	-206.910	55.912	-120.000	-143.934	-77.772	-163.000	0.000
161	37839	1	2292.947	19.00	26.64408	190.68620	-65.081	23.836	-60.000	-2.803	-49.004	-54.000	2500.000
162	37884	2	-2204.513	19.00	25.85513	188.57556	-44.995	5.755	-60.000	-32.418	-27.855	-45.000	-2000.000
163	38037	2	-2703.174	19.00	27.08974	189.83435	-202.700	13.050	-60.000	-185.536	-114.989	-153.000	-2000.000
164	38157	2	-2769.549	19.00	27.34656	190.37115	-169.796	13.772	-340.000	-44.603	-108.922	-120.000	-2000.000
165	38304	1	2052.816	19.00	25.40046	190.27153	-184.311	25.316	0.000	-62.628	-78.561	-147.000	2500.000
166	38338	2	-2439.494	19.00	24.96749	190.80641	-56.141	-7.811	-260.000	-35.747	-45.796	-34.000	-2000.000
167	38459	2	-2479.419	19.00	26.63587	190.38248	-169.276	7.141	-40.000	-69.967	-86.317	-121.000	-2000.000
168	38629	4	-795.275	19.00	26.61401	191.34964	-246.048	19.250	-200.000	-52.190	-146.287	-170.000	0.000
169	38666	2	-2188.755	19.00	26.28809	189.27017	-23.919	8.873	-100.000	-19.067	-17.642	-37.000	-2000.000
170	38713	1	2379.923	20.00	25.63891	192.33380	-51.341	14.778	0.000	-20.102	-16.412	-47.000	2500.000
171	38890	4	-646.853	20.00	25.92232	190.07841	-253.575	40.876	-80.000	-77.518	-99.635	-177.000	0.000
172	39034	1	1732.585	21.00	26.86266	190.03136	-162.011	31.691	-300.000	-52.501	-140.594	-144.000	2500.000
173	39072	1	2397.167	22.00	25.47373	189.33134	-27.163	14.614	0.000	-25.178	-27.106	-38.000	2500.000
174	39102	2	-2231.886	22.00	23.10275	190.46899	-13.241	3.300	-140.000	-8.999	-42.946	-30.000	-2000.000
175	39214	1	2129.038	23.00	28.80670	191.16716	-107.115	26.722	-40.000	-62.157	-76.411	-112.000	2500.000
176	39250	2	-2205.910	23.00	29.07629	191.52086	-25.480	4.860	-100.000	-9.448	-39.842	-36.000	-2000.000
177	39337	1	2276.298	24.00	24.92116	190.27191	-86.614	21.065	0.000	-15.452	-55.702	-87.000	2500.000
178	39368	2	-2527.778	24.00	24.59868	190.93387	-35.260	1.414	-360.000	-30.445	-72.487	-31.000	-2000.000
179	39458	2	-2518.531	24.00	26.37638	191.17747	-116.924	0.942	-100.000	-93.106	-119.442	-90.000	-2000.000
180	39548	2	-2334.636	24.00	27.15059	191.81831	-108.790	28.232	-40.000	-44.454	-79.624	-90.000	-2000.000
181	39719	1	1430.093	25.00	25.55770	190.63928	-219.834	43.429	-520.000	-72.382	-130.121	-171.000	2500.000
182	39812	2	-2912.513	25.00	25.32206	190.57982	-178.745	-5.312	-420.000	-104.707	-110.749	-93.000	-2000.000
183	39854	2	-2250.172	24.00	26.85862	191.89024	-67.896	-2.936	-80.000	-20.127	-37.212	-42.000	-2000.000
184	39946	2	-2544.540	24.00	24.18920	190.98485	-87.440	18.931	-200.000	-62.200	-121.830	-92.000	-2000.000
185	40053	2	-2517.668	24.00	26.17906	191.13380	-137.684	26.785	-160.000	-43.357	-96.412	-107.000	-2000.000
186	40096	2	-2265.103	24.00	25.69786	189.90839	-87.772	-4.177	-60.000	-38.741	-31.414	-43.000	-2000.000
187	40130	2	-2204.382	24.00	23.48476	188.96251	-45.206	0.238	-60.000	-9.397	-56.017	-34.000	-2000.000
188	40191	2	-2229.566	23.00	25.16788	191.11356	-61.089	4.628	-60.000	-17.391	-34.715	-61.000	-2000.000
189	40303	1	2158.225	24.00	25.14287	190.90701	-128.853	15.784	0.000	-27.286	-89.420	-112.000	2500.000
190	40390	1	2316.563	24.00	24.75424	191.33871	-67.652	38.979	0.000	-18.130	-49.633	-87.000	2500.000
191	40453	1	2377.739	25.00	25.80633	190.73543	-38.833	21.594	0.000	-18.429	-23.593	-63.000	2500.000
192	40544	1	2290.163	25.00	26.28815	191.15590	-81.980	24.958	0.000	-23.188	-38.627	-91.000	2500.000
193	40615	1	2305.213	26.00	23.42449	190.48080	-42.016	24.863	-40.000	-25.931	-40.704	-71.000	2500.000
194	40706	1	2300.514	27.00	24.24915	190.32338	-77.304	32.238	0.000	-27.335	-36.085	-91.000	2500.000
195	40851	2	-2858.950	26.00	25.40652	191.00658	-250.967	-77.059	-240.000	-35.545	-110.379	-145.000	-2000.000
196	40943	1	2252.202	27.00	26.92816	191.09834	-97.803	16.958	0.000	-19.963	-54.990	-92.000	2500.000
197	41033	2	-2452.640	27.00	23.79415	190.90585	-76.592	14.757	-220.000	-9.467	-71.338	-90.000	-2000.000
198	41117	2	-2460.596	27.00	23.64628	189.23689	-98.174	9.452	-200.000	-24.742	-63.132	-84.000	-2000.000
199	41211	2	-2512.995	26.00	24.43319	190.72893	-146.195	3.222	-120.000	-73.993	-82.028	-94.000	-2000.000
200	41293	2	-2414.769	26.00	22.78100	190.13934	-85.512	12.199	-180.000	-22.714	-56.742	-82.000	-2000.000
201	41323	2	-2670.552	26.00	22.74331	190.54950	-35.945	-0.455	-500.000	-32.074	-72.077	-30.000	-2000.000
202	41353	1	2413.671	27.00	24.61857	192.28743	-19.399	9.514	-20.000	-12.170	-14.274	-30.000	2500.000
203	41405	2	-2172.235	27.00	24.96592	191.44688	-35.828	21.998	-80.000	-4.712	-21.694	-52.000	-2000.000
204	41505	1	2189.555	28.00	24.23243	190.14525	-93.912	17.879	0.000	-39.205	-95.207	-100.000	2500.000
205	41641	1	1844.916	29.00	24.00879	191.03214	-126.904	40.227	-340.000	-30.140	-62.268	-136.000	2500.000
206	41857	4	-880.466	29.00	23.61049	190.35687	-316.427	43.067	0.000	-157.985	-233.121	-216.000	0.000
207	41899	2	-2746.313	28.00	23.93279	191.09850	-51.917	1.332	-460.000	-70.897	-122.831	-42.000	-2000.000
208	41929	1	2440.517	29.00	23.98103	191.94821	-20.849	8.680	0.000	-7.177	-10.137	-30.000	2500.000
209	42004	1	2146.363	29.00	24.37171	191.16571	-41.815	24.057	-200.000	-30.839	-30.040	-75.000	2500.000
210	42058	2	-2459.389	29.00	25.50993	190.63731	-60.343	2.675	-240.000	-54.902	-52.819	-54.000	-2000.000
211	42097	1	2155.503	30.00	24.24041	190.75526	-15.776	13.089	-180.000	-69.133	-53.676	-39.000	2500.000
